Start date,End date,Country,ISO,Location,Latitude,Longitude,Magnitude value,Magnitude scale,Disaster type,Disaster subtype,Associated disaster,Associated disaster2,Total damage ('000 US$),Disaster name,Disaster No.
25/02/2010,01/03/2010,Uganda,UGA,"Himumtu, Mazimasa, Kachonga, Butalega Rural, Butaleja Town areas (Bunyole district, Butaleja province), Nametsi, Kubehwo, Namangasa, Namasheti, Bumayoka villages (Manjiya district, Bududa province), Amudat, Amuria, Budaka, Bukwo, Kapchorwa, Katakwi, Kibuku, Manafwa, Mbale, Moroto, Nakapiripirit, Napak, Pallisa, Sironko provinces",,,,,Landslide,Landslide,--,--,0,,2010-0084
05/03/2011,05/03/2011,Uganda,UGA,"Kaabong, Kotido, Abim, Moroto, Nakapiripirit provinces (Karamoja region)",,,,Km2,Drought,Drought,--,--,0,,2010-9082
20/08/2011,08/09/2011,Uganda,UGA,"Bulambuli, Sironko, Kween, Mbale, Butaleja, Masaka, Buhweju, Mitooma, Mpigi, Kasese, Rukungiri, Lwengo, Kampala provinces",1.664,33.67,37846,Km2,Flood,Riverine flood,"Slide (land, mud, snow, rock)",--,0,,2011-0376
24/06/2012,24/06/2012,Uganda,UGA,"Namanga, Bunakasala villages (Bududa district, Manjiya province)",,,,,Landslide,Landslide,--,--,0,,2012-0215
20/08/2012,07/09/2012,Uganda,UGA,"Agago, Kitgum, Lamwo, Pader provinces",2.65,32.72,57981,Km2,Flood,Riverine flood,--,--,0,,2012-0380
01/05/2013,05/05/2013,Uganda,UGA,Kasese province,,,,Km2,Flood,Riverine flood,--,--,3100,,2013-0197
13/04/2016,18/04/2016,Uganda,UGA,"Kyebando, Bwaise, Mulago, Kalerwe suburbs (Kawempe district, Kampala province), Kamwokya suburb (Central Kampala district, Kampala province), Kanamba, Kabaka parishes (Karusandara sub-county, Busongora district, Kasese province)",,,,Km2,Flood,Riverine flood,--,--,2700,,2016-0130
10/05/2016,10/05/2016,Uganda,UGA,"Bubukwanga, Bukhonzo, Humya, and Bumadu village in Bundibugyo town council (Bundinbugyo district)",,,,,Landslide,Landslide,--,--,0,,2016-0148
20/09/2017,27/09/2017,Uganda,UGA,"Rubanda district, Nfasha, Rukungiri district",,,,Km2,Flood,Flash flood,--,--,0,,2017-0395
11/10/2018,11/10/2018,Uganda,UGA,Bududa district,,,,,Landslide,Mudslide,Flood,--,0,,2018-0423
